Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Anthyllis vulneraria ssp pseudoarundana,Arenaria tetraquetra ssp amabilis,Biscutella glacialis,Dactylis glomerata ssp juncinella,Dianthus brachyanthus,Draba hispanica ssp laderoi,Erigeron frigidus,Euphorbia nevadensis ssp nevadensis,Euphrasia willkommii,Festuca clementei,Festuca indigesta,Galium pyrenaicum,Jasione amethystina,Leontodon boryi,Leucanthemopsis pectinata,Linaria aeruginea ssp nevadensis,Lotus corniculatus ssp glacialis,Nevadensia purpurea,Pilosella sp,Poa ligulata,Rumex angiocarpus,Sedum amplexicaule ssp amplexicaule,Senecio boissieri,Sideritis glacialis,Silene boryi,Thymus serpylloides ssp serpylloides,Trisetum glaciale
81,"Sierra Nevada3","Plantago_holosteum",44,"cushion",16,14,,1,,,,,,,,,,,,,,,,,,2,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",45,"cushion",21,19,,,,1,,,,,,,,,2,2,,,11,,,,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",46,"cushion",25,24,,,,,,,,,,1,,,3,1,,,70,,1,,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",47,"cushion",14,10,,,,,,,,,,,,,3,1,,,,2,,1,,2,,,,,
81,"Sierra Nevada3","Plantago_holosteum",48,"cushion",15,12,,,,,,,,,,,,,1,,,,9,,,3,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",49,"cushion",14,12,,,,,,,,,,,,,1,1,,,3,,,,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",50,"cushion",14,15,,1,,1,,,,,,,1,,5,1,,,6,,,,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",51,"cushion",15,14,,,,,,,,2,,,,,1,,,,,,,2,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",52,"cushion",20,14,,,,,,3,,,,,1,,2,,,1,9,1,,8,,,,,,1,
81,"Sierra Nevada3","Plantago_holosteum",53,"cushion",11,9,,,,,,,,,,,,3,,,,,,,,5,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",54,"cushion",12,11,,,,,1,,,,,,,,,,,,,,,3,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",55,"cushion",12,14,,,,1,,,,,,2,1,,,,,,,,,,,4,,,,,
81,"Sierra Nevada3","Plantago_holosteum",56,"cushion",22,20,1,,,,,,,,,,,1,3,,,,5,,,2,,,,1,,1,
