site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Achillea millefolium alpicola,Agoseris aurantiaca,Anemone occidentalia,Anenome drummondii,Antennaria alpina,Arabis nuttalii,Artemisia michauxiana,Astragalus alpinus,Bupleurum americanum,Carex geyeri,Cerastium arvense,Cirsium scariosum,Claytonia megarhiza,Cryptantha celosiodes,Danthonia intermedia,Epilobium angustifolium,Erigeron compositus,Eriogonum flavum,Eriophylum lantanum,Geum triflorum,Linum lewisii,Lomatium sandbergii,Mertensia longiflora,Minuartia obtusiloba,Oxyria digyna,Pedicularis bracteosa,Pedicularis parryi,Penstemon fruticosa,Phacelia lyallii,Phacelia sericea,Plantago eriopoda,Poa alpina,Polygonum viviparum,Potentilla diversifolia,Saxifraga occidentalis,Sedum lanceolatum,Sedum roseum,Senecio canus,Silene douglasii,Tiarella trifoliata,Tofieldia accidentalis,UNKNOWN1,UNKNOWN2,UNKNOWN3,UNKNOWN4,UNKNOWN5,UNKNOWN6,dataset code
"Two Medicine Glacier","Sibbaldia",65,"open",41,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",73,"open",81,59,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",75,"open",124,104,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",77,"open",34,40,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",79,"open",44,28,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",81,"open",66,33,,,,,,,,,,,,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",83,"open",60,32,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",92,"open",97,41,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",94,"open",36,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",96,"open",79,48,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",98,"open",58,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",100,"open",94,51,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,6,,1,,,,,,,,,,1,,,,65
"Two Medicine Glacier","Sibbaldia",102,"open",152,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",1,"cushion",40,71,,,,,,,,,,,,,,,8,,,,,,,,,1,,,,,,,,13,,,1,,,7,,,,1,,,,,,65
"Two Medicine Glacier","Sibbaldia",5,"cushion",14,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",7,"cushion",92,73,19,9,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,65
"Two Medicine Glacier","Sibbaldia",9,"cushion",31,66,,,,,,,,,,,,,,,9,,,,,,,,2,,,,,,,,,2,,,2,,,3,,,,,,3,,,,65
"Two Medicine Glacier","Sibbaldia",11,"cushion",65,40,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,,,,3,,2,,,,,,11,,65
"Two Medicine Glacier","Sibbaldia",13,"cushion",43,34,,,1,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,2,1,,,,65
"Two Medicine Glacier","Sibbaldia",17,"cushion",58,35,,,,,,,,,,,,10,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",19,"cushion",64,41,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,4,,,,1,1,,9,,,,,,,65
"Two Medicine Glacier","Sibbaldia",20,"cushion",38,23,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,1,,,,1,,,1,,,,,,,65
"Two Medicine Glacier","Sibbaldia",22,"cushion",14,11,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",23,"cushion",34,33,,,,1,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",24,"cushion",94,61,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",25,"cushion",40,35,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",26,"cushion",60,42,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",27,"cushion",58,53,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",28,"cushion",30,13,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",29,"cushion",40,40,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",30,"cushion",10,15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",31,"cushion",46,56,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,65
"Two Medicine Glacier","Sibbaldia",32,"cushion",77,83,1,1,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",33,"cushion",44,40,,1,,,,,,,,,,,,,2,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",34,"cushion",24,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",35,"cushion",53,34,,1,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",36,"cushion",38,50,2,,,,,,,,,,,,,,18,,2,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",37,"cushion",46,24,,1,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,2,,,,1,,2,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",38,"cushion",36,29,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",39,"cushion",56,36,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",40,"cushion",37,31,,,,,1,,,,,,,,,,5,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",41,"cushion",42,33,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",42,"cushion",44,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",43,"cushion",32,12,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",44,"cushion",62,60,,,,1,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",45,"cushion",54,44,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",46,"cushion",50,29,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",47,"cushion",58,60,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",48,"cushion",39,18,,,,,,,,3,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",49,"cushion",36,66,,1,,,,,,,,7,,,1,,13,,,,,,,,,,,,,,,,,5,,,1,,,3,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",50,"cushion",97,41,,,,,3,,,,,,,,1,,28,,,,,,,,1,,,,,,,,,4,,1,,,,2,,,1,,,,,,,65
"Two Medicine Glacier","Sibbaldia",51,"cushion",38,58,,1,,,,,,,,29,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,65
"Two Medicine Glacier","Sibbaldia",52,"cushion",36,25,,,,,,,,,,2,,,1,,4,,2,,,2,,,1,,,,,,,,,3,,,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",54,"cushion",79,48,,,,,,,,,,,,,1,,,,1,,,,,,,,,,3,,,,,25,,,,,,,,,,,,37,,,4,65
"Two Medicine Glacier","Sibbaldia",55,"cushion",41,41,7,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",56,"cushion",58,51,,1,,,,,,,,20,,,,,11,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",57,"cushion",56,25,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",59,"cushion",41,38,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,65
"Two Medicine Glacier","Sibbaldia",62,"cushion",71,48,,,,,,,,,,5,,,,,11,,,,,,,,,,1,2,,,1,,,1,1,1,,,,,,,1,,,,,,,65
"Two Medicine Glacier","Sibbaldia",64,"cushion",38,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",66,"cushion",34,24,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",68,"cushion",58,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",70,"cushion",54,24,6,,,,,,,,,,,,,,6,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",72,"cushion",66,42,,,,,3,,,,,,,,,,4,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",74,"cushion",37,36,3,,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",76,"cushion",18,21,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",77,"cushion",34,37,,,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",79,"cushion",41,22,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,65
"Two Medicine Glacier","Sibbaldia",80,"cushion",75,79,,,,,1,,,1,,,,,,,8,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,65
"Two Medicine Glacier","Sibbaldia",81,"cushion",60,40,9,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,65
"Two Medicine Glacier","Sibbaldia",82,"cushion",35,32,,,,,1,,1,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",83,"cushion",67,37,,,1,,,,,,,,1,,,,9,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",84,"cushion",40,25,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",85,"cushion",33,43,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",86,"cushion",31,31,,,,,,,,,,,,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",87,"cushion",81,59,11,,,,,,,,,1,,,,,8,,,,3,,,,,,,,,,,,,,,8,,,,8,,3,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",88,"cushion",84,67,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,,,10,,,,,,3,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",89,"cushion",124,104,,,,,,,,,,,1,,,,,,,,9,,,,,,,,,,,,7,,,,,,,1,,3,,,1,,,,,65
"Two Medicine Glacier","Sibbaldia",90,"cushion",38,71,,,,,,,,,,7,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",91,"cushion",34,40,3,,,,,,,,,,1,,,,20,,,,3,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",92,"cushion",45,35,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,1,,,2,,,,,,2,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",93,"cushion",44,28,,,,,,,,,,5,,,,,16,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",94,"cushion",31,44,,,,,,,,,,7,,,,,1,,,,,,,,,,,2,,,,,2,,,2,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",95,"cushion",66,33,,,,,,,,,,8,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",96,"cushion",40,36,,1,,,,,,,,,,,,,12,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",98,"cushion",26,52,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,1,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",100,"cushion",47,30,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",102,"cushion",93,42,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,4,,3,4,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",104,"cushion",94,60,,1,,,,1,1,,,,,,,,12,,4,,,,,,,,,3,,,,,,,2,2,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",2,"open",40,40,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",3,"open",56,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",4,"open",81,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",5,"open",14,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",6,"open",45,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",7,"open",92,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",8,"open",45,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",9,"open",31,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",10,"open",38,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",11,"open",65,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",12,"open",80,65,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
