Site,Cushion species,Sample,cushion/open,Flower no,Flower gender,Diam 1 (cm),Diam 2 (cm),Notes,Anenome occidentalis (Tiny anenome),Antennaria alpina var media (White gentian),Arctostaphylos uva-ursi (Bearberry),Big Anenome,Bistorta vivipara,Cetraria cuculata (Leafy lichen),Draba oligosperma (ylw flowered cushion),Dryas octopetala,Erigeron spp (Red long),Grass,Green Lobe,Lupinus arcticus,Masonhalea richardsonii (Branch lichen),Moss,Myosotis alpestris (Forget me not),Pedicularis spp (lousewort),Polemonium pulcherrimum,Potentilla spp,Red Long,Rock Lichen,Salix cascadensis (Salix 2),Salix spp,Saxifraga bronchialis (Red saxifrage),Saxifraga nivalis (Dandel),Saxifraga serpyllifolia (Yellow flower),Sedum spp (stonecrop),Small gentian,White weed?,dataset code
"Red Mountain","Silene acaulis",52,"cushion",,"",23,20,"",,,,,,,,,,13,,,,,,,,4,3,,5,,,,,,,,69
"Red Mountain","Silene acaulis",53,"cushion",,"",33,18,"",,,,,,,,,,7,,,,,1,,2,,,,,,,,2,,,,69
"Red Mountain","Silene acaulis",53,"open",,"",,,"",,3,,,2,,,,,14,,,1,,,,,3,,3,,,,,,,,,69
"Red Mountain","Silene acaulis",54,"open",,"",,,"",,,,,,,,,,4,,,6,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",55,"open",,"",,,"",,,,,,,,3,,2,,,1,,,,,2,,,,,,,1,,,,69
"Red Mountain","Silene acaulis",56,"cushion",,"",14.5,8,"",,,,,1,,,,,6,,,2,,2,,14,1,,,,,,,6,,,,69
"Red Mountain","Silene acaulis",57,"cushion",,"",32,24,"",,,,,,,,,,28,,,,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",57,"open",,"",,,"",,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,69
"Red Mountain","Silene acaulis",58,"open",,"",,,"",,,,,,,,,,,,,,,,,,,,3,,,,,,,,,69
"Red Mountain","Silene acaulis",59,"cushion",,"",17,13,"",4,,,,,,,,,3,,,,,,,,6,,,,,,,,,,,69
"Red Mountain","Silene acaulis",60,"cushion",,"",30,13,"",3,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",61,"open",,"",,,"",,,,,,,,,,,,,3,,,,,,,3,,,,,,,,,69
"Red Mountain","Silene acaulis",62,"cushion",,"",26,23,"",,,,5,,,,,,7,2,,5,,,,,1,4,,11,,28,,,,,,69
"Red Mountain","Silene acaulis",63,"cushion",2,"f",33,16.5,"",,,,,,,,,,4,,,,,,,7,,3,,,2,,,,,,,69
"Red Mountain","Silene acaulis",63,"open",,"",,,"",,,,,,,,,1,,,,2,,,,,,,2,,,,,,3,,,69
"Red Mountain","Silene acaulis",64,"open",,"",,,"",2,,,,2,,,,,,,,3,,,,,1,,3,,,,,,,,,69
"Red Mountain","Silene acaulis",65,"open",,"",,,"",,,,,3,,,,,7,,,1,,,,,1,,3,,,,,,,,,69
"Red Mountain","Silene acaulis",66,"cushion",,"",13,15,"",,1,,,,,,,,13,,,3,,,,4,3,,,,,,,,,,,69
"Red Mountain","Silene acaulis",67,"cushion",,"",17,16,"",,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",67,"open",,"",,,"",,,,,,,,,,19,,,2,,,,,1,,,7,,,,,,,,69
"Red Mountain","Silene acaulis",68,"open",,"",,,"",,,,,,,,,,3,,,2,,,,,,,3,,,,,,3,,,69
"Red Mountain","Silene acaulis",69,"cushion",,"",14,8,"",,,,,,,,,,5,,,3,,,,,1,,,,,3,,,,,,69
"Red Mountain","Silene acaulis",71,"open",,"",,,"",1,,,,,,,,,3,,,,,,,,2,,2,,,,,,,,,69
"Red Mountain","Silene acaulis",72,"cushion",,"",16,10,"",,,,,,,,5,,4,,,,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",73,"cushion",,"",17,11,"",,,,,,,,,,5,,,3,,1,,2,1,2,,,1,,,,,,,69
"Red Mountain","Silene acaulis",1,"open",,"",,,"",,4,,,,,,,,,,,,,,,,,,3,,,,,,,,,69
"Red Mountain","Silene acaulis",2,"open",,"",,,"",,,,,,2,,,,6,,15,,,,,13,,,4,,,,,,,,1,69
"Red Mountain","Silene acaulis",4,"cushion",,"",18,14.5,"",,2,,,1,,,,,17,,,,,,,,,,,,1,,,,,,,69
"Red Mountain","Silene acaulis",5,"open",,"",,,"",,,,,,,,,,21,,,,,,,,,,,,1,,,,,1,,69
"Red Mountain","Silene acaulis",6,"open",,"",,,"",,,,,,,,,,11,,2,1,,,,,,,4,,,,,,,,,69
"Red Mountain","Silene acaulis",8,"cushion",,"",18,17,"",,,,,,,,,,8,,,,,1,,,3,,,,1,,,,,,,69
"Red Mountain","Silene acaulis",9,"open",,"",,,"",,,,,,,,,,3,,,2,,1,,,,,3,,,,,,,,,69
"Red Mountain","Silene acaulis",10,"open",,"",,,"",,,,,,,,,,3,,,2,,,,,3,,2,,,,,,,,,69
"Red Mountain","Silene acaulis",11,"cushion",12,"h",39,38,"",1,3,,,2,,2,,,21,,,,1,1,,,3,,2,,4,,,,2,,,69
"Red Mountain","Silene acaulis",13,"cushion",,"",23,24,"",1,,,,,,,,,16,,,,,,,,3,,,4,,,,,,,,69
"Red Mountain","Silene acaulis",14,"cushion",,"",15,11,"",1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",15,"open",,"",,,"",1,,,,,,,,,24,,,,,,,2,,,3,,,1,,,,,,69
"Red Mountain","Silene acaulis",17,"cushion",13,"h",29,27,"",1,,,,,,,,,17,,,,,,,,5,,,5,,,,,,,,69
"Red Mountain","Silene acaulis",17,"open",,"",,,"",3,,,,,,,,,21,,,1,,3,,,6,,1,,3,,,,5,1,,69
"Red Mountain","Silene acaulis",18,"cushion",5,"h",27,15,"",,,,,,,,,,18,,,1,,,,,,,,,6,,,,,,,69
"Red Mountain","Silene acaulis",18,"open",,"",,,"",,1,,,,,,,,11,,,1,,,,1,1,,1,1,,,,,,,,69
"Red Mountain","Silene acaulis",19,"cushion",1,"f",33,22,"",,,,,,,,,,32,,,1,,,,,8,1,,7,1,,,,,,,69
"Red Mountain","Silene acaulis",19,"open",,"",,,"",,,,,,,,,,7,,,1,,,,,6,,3,,,,,,3,,,69
"Red Mountain","Silene acaulis",20,"cushion",,"",12,12,"",1,,,,,,,,,15,,,1,,,,,4,,,,,,,4,,,,69
"Red Mountain","Silene acaulis",20,"open",,"",,,"",,,,,,,,,,3,,,4,,,,,,,,,,,,,4,,,69
"Red Mountain","Silene acaulis",22,"cushion",,"",18.5,12,"",,,,,,,,,,9,,,1,,,,,,,,,2,,,,,,,69
"Red Mountain","Silene acaulis",23,"cushion",,"",17,14,"",,,,,,,,,,7,,,1,,,,,2,,,,,,,,,1,,69
"Red Mountain","Silene acaulis",24,"open",,"",,,"",,,,,,,,,,,,,,,,,,,,3,,,,,,,,,69
"Red Mountain","Silene acaulis",25,"open",,"",,,"",,,,,,,,,,3,,,,,,,,,,3,,,,,,1,,,69
"Red Mountain","Silene acaulis",26,"cushion",5,"f",36,22,"",6,,,,,,,,,19,,,1,,1,,7,3,,,5,8,,,,,,,69
"Red Mountain","Silene acaulis",26,"open",,"",,,"",,,,,,,,,,1,,,1,,2,,1,,,3,2,,,,,,,,69
"Red Mountain","Silene acaulis",27,"cushion",,"",39,17,"",,,,,,,4,,,20,,,1,,,,,,,,10,,,,,2,,,69
"Red Mountain","Silene acaulis",27,"open",,"",,,"",3,,,,,,,,,2,,,1,,,,,,,2,,,,,,2,,,69
"Red Mountain","Silene acaulis",28,"cushion",2,"h",20,18,"",,,,,,,,,,8,,,3,,,,,2,,,,,,,,1,,,69
"Red Mountain","Silene acaulis",28,"open",,"",,,"",2,,,,,,,,,7,,,1,,,,,,,,2,,,,,,,,69
"Red Mountain","Silene acaulis",29,"cushion",1,"h",9,9,"",,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,69
"Red Mountain","Silene acaulis",29,"open",,"",,,"",,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",30,"cushion",1,"f",34,20,"",,3,,,,,,2,,21,,,2,,,,1,7,,,4,,,,3,,,,69
"Red Mountain","Silene acaulis",30,"open",,"",,,"",5,,,,,,,,,,,,,,,,,,,3,2,1,,,,,,,69
"Red Mountain","Silene acaulis",32,"cushion",,"",17,12,"",,,,,,,,,,3,,,,,,,1,,,,1,1,,,,,,,69
"Red Mountain","Silene acaulis",33,"open",,"",,,"",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",34,"cushion",2,"h",16,8,"",,,,,,,,,,9,,,2,,,,,,,,2,,,,,,,,69
"Red Mountain","Silene acaulis",34,"open",,"",,,"",,,,,,,,1,,,,,2,,,,1,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",35,"cushion",,"",18,14.5,"",,,,,,,,,,8,,,1,,,,,1,,,1,,,,,,,,69
"Red Mountain","Silene acaulis",35,"open",,"",,,"",,,,,,,,,,,,,,,,,,,,2,,,,,,,,,69
"Red Mountain","Silene acaulis",36,"cushion",1,"h",12,7,"",1,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,69
"Red Mountain","Silene acaulis",36,"open",,"",,,"",,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,69
"Red Mountain","Silene acaulis",37,"cushion",4,"f",19,19,"",,,,,,,,,,10,,,1,,2,,2,3,,,,,,,,,,,69
"Red Mountain","Silene acaulis",37,"open",,"",,,"",1,,,,,,,,,2,,,1,,1,,1,,,2,1,,,,,,,,69
"Red Mountain","Silene acaulis",38,"cushion",,"",16,12,"",,,,,,,,,,5,,,,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",38,"open",,"",,,"",,,,,,,,,,1,,,1,,,,,,,3,,,,,,,,,69
"Red Mountain","Silene acaulis",39,"cushion",3,"h",7,3.5,"",,,,,,,,,,9,,,,,,,,,,,2,,,,,,,,69
"Red Mountain","Silene acaulis",39,"open",,"",,,"",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,69
"Red Mountain","Silene acaulis",40,"cushion",,"",12.5,12,"",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",40,"open",,"",,,"",,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,69
"Red Mountain","Silene acaulis",41,"open",,"",,,"",,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,69
"Red Mountain","Silene acaulis",42,"open",,"",,,"",,3,,,,,,,,3,,,1,,,,,2,,3,4,,,,,,,,69
"Red Mountain","Silene acaulis",44,"cushion",6,"f",14,11,"",,,,,,,,,,3,,,,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",45,"cushion",5,"f",11,10,"",1,,,,,,,,,9,,,1,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",46,"open",,"",,,"",,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,69
"Red Mountain","Silene acaulis",48,"cushion",,"",8,7,"",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",49,"cushion",16,"f",27,17,"",,,,,,,,,,29,,,3,,2,,,11,,,4,,,,,3,,,69
"Red Mountain","Silene acaulis",50,"open",,"",,,"",4,,,,,,,,,,,,2,,,,,,,3,,,,,,1,,,69
"Red Mountain","Silene acaulis",51,"open",,"",,,"",,,,,,,,,,,,,,,,,,,,3,,,6,,,,,,69
"Red Mountain","Silene acaulis",52,"open",,"",,,"",,,,,,,,,,,,,,,,,,,2,3,3,,,,,,,,69
"Red Mountain","Silene acaulis",54,"cushion",,"",6.5,6,"",,,,,1,,,,,6,,,3,,,,,2,,,,,,,,,,,69
"Red Mountain","Silene acaulis",55,"cushion",,"",14.5,8,"",1,,,,,,,2,,3,,,3,,,,,5,,,1,,,,,,,,69
"Red Mountain","Silene acaulis",56,"open",,"",,,"",,,,,,,,,,6,,,2,,,,,2,,2,2,,,,,,,,69
"Red Mountain","Silene acaulis",58,"cushion",,"",19,16,"",,5,,,7,,,,,10,,,3,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",59,"open",,"",,,"",,,,,,,,,,21,,,9,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",60,"open",,"",,,"",,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,69
"Red Mountain","Silene acaulis",61,"cushion",,"",28,26,"",13,11,,,,,,,,14,,,3,,,,,,,,,11,,,,2,,,69
"Red Mountain","Silene acaulis",62,"open",,"",,,"",,,,,,,,,,1,,,4,,,,,,,3,,,,,,3,,,69
"Red Mountain","Silene acaulis",64,"cushion",,"",18,13,"",,4,,,1,,,,,,,,,,,,1,1,,,,3,,,,,,,69
"Red Mountain","Silene acaulis",65,"cushion",,"",27,12,"",,,,,6,,,6,,8,,,3,,,,,3,,,2,3,,,,,,,69
"Red Mountain","Silene acaulis",66,"open",,"",,,"",3,,,,,,,,,2,,,2,,2,,,,,3,,,,,,,,,69
"Red Mountain","Silene acaulis",68,"cushion",,"",21,16,"",,,,,,,,,,11,,,,,1,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",69,"open",,"",,,"",,,,,,,,,,,,,,,,,,,,3,,,,,,,,,69
"Red Mountain","Silene acaulis",70,"cushion",,"",18,17,"",,,,,5,,,,,8,,,,,,,,,,3,,1,,,,1,,,69
"Red Mountain","Silene acaulis",70,"open",,"",,,"",,,,,,,,,,4,,,2,,1,,,,,3,,,4,,,,,,69
"Red Mountain","Silene acaulis",71,"cushion",,"",23,18,"",,1,,,2,,,,,15,,,1,,4,,1,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",72,"open",,"",,,"",,,,,,,,1,,5,,,,,,,2,2,2,,,,,,,,,,69
"Red Mountain","Silene acaulis",73,"open",,"",,,"",,,,,,,,,,2,,,3,,,,,,,2,,,,,,,,,69
