"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena macrocephala","Acaena pinnatifida","Anemone multifida","Armeria maritima","Azorella monantha","Berberis empetrifolia","Calandrinia gayana","Carex aphylla","Carex caduca var ortegae","Cerastium arvense","Chuquiraga avellanae","Discaria nana","Drava gilliesii","Erigeron sp","Gamocarpa selliana","Gaultheria pumila","Geranium sessiliflorum","Hordeum comosum","Hypochaeris tenuifolia var eurylepis","Leucheria millefolium","Luzula chilensis","Montiopsis gayana","Mulinum leptacanthum","Nastanthus caespitosum","Oreopolus glacialis","Plantago barbata subsp barbata","Polygala salasiana","Senecio pachyphyllos","Senecio portalesianus","Sisysrinchium patagonicum","Trisetum barbinode","Tristagma nivale","Viola cotyledon"
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,9,"cushion",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,10,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,11,"cushion",,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,12,"cushion",,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,13,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,14,"cushion",,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,3,,2,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,15,"cushion",,,,,2,,4,,,,,,,,,2,,,,,2,,,,1,,,,,,,,,1,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,17,"cushion",,,,1,,,6,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,18,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,19,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,20,"cushion",,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,21,"cushion",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,22,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,23,"cushion",,,,,,,8,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,3,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,24,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,25,"cushion",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,26,"cushion",,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,27,"cushion",,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,28,"cushion",,,,,,,9,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,29,"cushion",,,,,,,13,,,,,,,,,1,,,,,,,,,,2,,,,,,1,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,30,"cushion",,,,,,1,2,1,,,,,,,,,,,,,,3,,,,3,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,32,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,2,1,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,33,"cushion",,,,2,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,1
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,34,"cushion",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,15,,17,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,35,"cushion",,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,3,,3,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,36,"cushion",,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,1,,,2,,,,1
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,37,"cushion",,,,1,,1,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,38,"cushion",,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,9,,,,10
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,39,"cushion",,,,1,,1,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,40,"cushion",,,,3,,,18,,,,,,,,,2,,,,1,,,,,,2,,,,,,11,,1,,6
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,41,"cushion",,,,4,,4,2,,,,,,,,,1,,2,,,,,,,2,3,,,,,,3,,,,3
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,42,"cushion",,,,5,,1,,,,,,,,,,1,,,,,,,,,4,,,,,,,7,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,43,"cushion",,,,3,6,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,2,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,44,"cushion",,,,,3,,,,,,,,,,,1,,,12,8,2,,,,,2,,,,,,,1,,5,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,45,"cushion",,,,,7,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,2,2,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,47,"cushion",,,,2,,,4,,,,,,,,,,,1,,,,,,,1,3,,,,,,7,,,,9
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,48,"cushion",,,,7,,,18,,,,,,,,,3,,2,,3,,,,,2,,,,,,,14,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,49,"cushion",,,,,,,,,,,,,,,,,,,9,8,,2,,,,,,,,,,,2,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,50,"cushion",,,,25,,,37,,,,,,,,,1,,,,4,1,,,,6,4,,,,,,24,,1,1,5
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,51,"cushion",,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,52,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,53,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,54,"cushion",,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,55,"cushion",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,56,"cushion",,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,57,"cushion",,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,58,"cushion",,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,59,"cushion",,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,60,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,62,"cushion",,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,63,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,64,"cushion",,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,3,,2,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,65,"cushion",,,,,2,,4,,,,,,,,,2,,,,,2,,,,1,,,,,,,,,1,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,66,"cushion",,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,67,"cushion",,,,1,,,6,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,68,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,69,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,70,"cushion",,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,71,"cushion",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,72,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,73,"cushion",,,,,,,8,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,3,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,74,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,75,"cushion",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,77,"cushion",,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,78,"cushion",,,,,,,9,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,79,"cushion",,,,,,,13,,,,,,,,,1,,,,,,,,,,2,,,,,,1,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,80,"cushion",,,,,,1,2,1,,,,,,,,,,,,,,3,,,,3,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,81,"cushion",,,,2,,2,10,,,,,,,,,1,,,,,,,,,,3,,,,,,1,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,82,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,2,1,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,83,"cushion",,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,84,"cushion",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,15,,17,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,85,"cushion",,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,3,,3,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,86,"cushion",,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,1,,,2,,,,1
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,87,"cushion",,,,1,,1,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,88,"cushion",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,10
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,89,"cushion",,,,1,,1,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,90,"cushion",,,,3,,,18,,,,,,,,,2,,,,1,,,,,,2,,,,,,11,,1,,6
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,93,"cushion",,,,3,6,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,2,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,94,"cushion",,,,,3,,,,,,,,,,,1,,,12,8,2,,,,,2,,,,,,,1,,5,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,95,"cushion",,,,,7,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,2,2,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,96,"cushion",,,,6,,8,35,,,,,,,,,8,,,,,,,1,,1,2,,,,,,13,,,,2
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,97,"cushion",,,,2,,,4,,,,,,,,,,,1,,,,,,,1,3,,,,,,7,,,,9
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,98,"cushion",,,,7,,,18,,,,,,,,,3,,2,,3,,,,,2,,,,,,,14,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,99,"cushion",,,,,,,,,,,,,,,,,,,9,8,,2,,,,,,,,,,,2,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,100,"cushion",,,,25,,,37,,,,,,,,,1,,,,4,1,,1,,6,4,,,,,,24,,1,1,5
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,1,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,2,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,3,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,4,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,5,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,9,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,10,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,11,"open",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,12,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,13,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,14,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,15,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,16,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,17,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,18,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,19,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,20,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,24,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,25,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,26,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,27,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,28,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,29,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,30,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,31,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,32,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,33,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,34,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,35,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,39,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,40,"open",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,41,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,42,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,43,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,44,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,45,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,46,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,47,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,48,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,49,"open",,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,2
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,50,"open",,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,1
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,54,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,55,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,56,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,57,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,58,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,59,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,60,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,61,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
