dataset code,site,cushion sp,sample,cushion/open,diam1 (cm),diam2 (cm),Carex nardina,Arnica,Solidago,Festuca,Phlox,Sibbaldia,Antennaria alpina,Carex Sp,Luzula,Koeleria,Poa alpina,Draba,Saxifraga bronchialis,Agrostis,Taraxacum,Potentilla heptaphylla,Phyllodoce glandulosa,Luzula glabra,Festuca green,Potentilla villosa,Caryophyllaceae,Erigeron,Antennaria long leaf,Luzul green,Phacelia
76,"Whistler South","Silene_acaulis",27,"cushion",18,12,,1,13,,,,,1,,1,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",27,"open",18,12,,5,1,,,3,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",28,"cushion",50,37,,8,60,5,,,3,2,,6,,,3,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",28,"open",50,37,,,20,2,,,1,6,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",29,"cushion",17,17,,,8,2,,,2,,4,2,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",29,"open",17,17,,1,13,2,,,1,,,1,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",30,"cushion",14,13,,2,,3,,,,,1,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",30,"open",14,13,,1,2,,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",31,"cushion",15,14,,2,,2,,2,,2,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",31,"open",15,14,1,4,,,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",32,"cushion",7,7,,,,1,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",32,"open",7,7,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",33,"cushion",16,15,,,4,1,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",33,"open",16,15,,,5,2,1,,,2,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",34,"cushion",30,18,,7,,7,,,,,,,,,5,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",34,"open",30,18,4,4,,,,,,,1,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",35,"cushion",18,18,,1,,1,,,,,,1,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",35,"open",18,18,,,,1,,,,3,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",36,"cushion",52,43,,8,40,11,,,,,,3,1,,,,,,3,,,,,,,,
76,"Whistler South","Silene_acaulis",36,"open",52,43,,1,8,3,,,,,,1,2,2,,,,,2,,,,,,,,
76,"Whistler South","Silene_acaulis",37,"cushion",22,16,,5,8,2,,,,,,1,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",37,"open",22,16,,8,,4,,,,,,1,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",38,"cushion",47,28,,17,,10,,,5,,,1,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",38,"open",47,28,2,5,2,,,,,,,,,,2,,,,2,,,,,,,,
76,"Whistler South","Silene_acaulis",39,"cushion",37,26,,6,,1,,2,,3,,1,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",39,"open",37,26,,4,,1,,,,4,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",40,"cushion",28,20,,,,3,,2,,,,4,,,,,,,,,,2,,,,,
76,"Whistler South","Silene_acaulis",40,"open",28,20,,,,,,1,,1,,2,,,,,,,,,,2,,,,,
76,"Whistler South","Silene_acaulis",41,"cushion",21,13,,,,3,,,,,,5,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",41,"open",21,13,,,10,5,,,,,,1,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",42,"cushion",14,13,,,3,4,,,1,,,,1,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",42,"open",14,13,,,8,1,,1,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",43,"cushion",27,19,,,10,5,,,,,,,1,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",43,"open",27,19,,,4,2,,,,,,,,,2,,,,,,1,,,,,,
76,"Whistler South","Silene_acaulis",44,"cushion",30,22,,8,,6,,2,3,3,,2,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",44,"open",30,22,,10,,2,,1,1,2,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",45,"cushion",41,28,,7,4,1,,,,,,1,,,,,,,2,,,,,,,,
76,"Whistler South","Silene_acaulis",45,"open",41,28,,12,,3,,1,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",46,"cushion",13,13,3,,,1,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",46,"open",13,13,,1,,1,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",47,"cushion",12,11,,4,,2,,,,,,1,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",47,"open",12,11,,1,,1,,,,,,,,,,,,,,,,,,1,,,
76,"Whistler South","Silene_acaulis",48,"cushion",18,16,5,,,1,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",48,"open",18,16,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",49,"cushion",11,14,,6,,4,,,,,,,,,2,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",49,"open",11,14,,1,,,,,,,,,,,2,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",50,"cushion",18,13,2,6,1,3,,,1,,,,1,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",50,"open",18,13,,,1,,,,1,,,,,,,,,,,,,,,1,,,
76,"Whistler South","Silene_acaulis",51,"cushion",14,10,,,,1,,,,,,2,,,1,,,,,,,,1,,,,
76,"Whistler South","Silene_acaulis",51,"open",14,10,,1,,,,,,1,,,,,1,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",52,"cushion",25,28,4,,5,2,,,,,,3,,1,,,,,,,,,2,,,,
76,"Whistler South","Silene_acaulis",52,"open",25,28,2,,4,,,,,,,,2,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",53,"cushion",43,20,7,2,10,,,,,,,3,1,1,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",53,"open",43,20,,,5,4,,2,,,,2,2,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",54,"cushion",17,13,,2,,1,,,,,,3,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",54,"open",17,13,,3,1,,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",55,"cushion",25,30,,3,,4,,6,2,,,1,5,3,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",55,"open",25,30,,5,,2,,1,,,,,,1,,,1,,,,,,,,,,
76,"Whistler South","Silene_acaulis",56,"cushion",17,19,6,,,,,,,,1,,,,,,1,,,,,,,,,,
76,"Whistler South","Silene_acaulis",56,"open",17,19,5,,,,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",57,"cushion",20,19,,10,,,,,,,,1,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",57,"open",20,19,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",58,"cushion",34,25,,8,,3,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",58,"open",34,25,,2,,,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",59,"cushion",18,7,,,,1,,2,,,1,,1,,,,1,,,,,,,,,,
76,"Whistler South","Silene_acaulis",59,"open",18,7,,,3,2,,1,,,,,1,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",60,"cushion",12,14,,1,7,1,,1,,,1,,2,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",60,"open",12,14,,,2,1,,,,,1,1,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",61,"cushion",22,23,,,7,1,,1,,,,1,2,,,,,,,,,,1,,,,
76,"Whistler South","Silene_acaulis",61,"open",22,23,,,1,1,,1,,,1,1,,,,,,,,,,,1,,,,
