site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Arenaria,Astralagus purshii var lectulus,Carex,Caryo,Cholerea,Cryptantha nubigena,Draba oligosperma,Erigeron,Erigonum,Leontodon,Linum,Phlox,Poa,Potentilla morefieldii,Saxifrag,dataset code
"White Mtns Townsendia leptotes","Townsendia leptotes",18,"cushion",24,21,1,,,,5,1,1,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",19,"cushion",17,19,,,,,1,2,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",19,"open",17,19,,,,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",20,"cushion",31,20,,,,,6,,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",20,"open",31,20,1,,,,4,,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",22,"open",9,13,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",23,"cushion",24,26,,,,,2,,1,,,1,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",23,"open",24,26,1,,,,,,,,,,,4,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",24,"cushion",34,22,3,2,,,,1,,,,,,5,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",24,"open",34,22,1,,,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",25,"cushion",14,21,1,,,,4,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",25,"open",14,21,,,,1,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",26,"cushion",15,13,,,,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",26,"open",15,13,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",27,"cushion",28,23,,3,,,1,2,1,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",27,"open",28,23,,,,1,1,,1,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",28,"cushion",27,26,,1,,1,,1,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",28,"open",27,26,,,,,,2,,1,,,,5,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",29,"cushion",21,16,,,,,2,2,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",29,"open",21,16,,,,,,,,,,,,4,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",30,"cushion",24,17,1,2,,,1,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",30,"open",24,17,,1,,,,,,,,,,5,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",32,"open",35,32,,,,,,1,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",33,"cushion",38,30,,,,,2,2,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",33,"open",38,30,,,,,,1,,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",34,"cushion",13,10,,,,3,1,,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",34,"open",13,10,,,,,,,,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",35,"cushion",27,23,2,1,,,,,,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",35,"open",27,23,,,,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",36,"cushion",11,10,2,1,,,,1,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",36,"open",11,10,,,,,1,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",37,"cushion",20,14,,1,,,5,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",37,"open",20,14,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",38,"cushion",11,12,,2,,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",38,"open",11,12,,,,,,,,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",39,"cushion",23,27,,,,,,,2,,,,,4,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",39,"open",23,27,,,,,,,,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",40,"cushion",31,33,,1,,,,1,,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",40,"open",31,33,3,1,,,,,1,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",43,"cushion",18,13,,2,,,,,,1,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",43,"open",18,13,1,,,,,,,1,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",44,"cushion",13,12,,,,,,1,,,,,1,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",44,"open",13,12,,,,,,2,,1,,,,5,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",45,"cushion",15,14,,,,,,2,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",45,"open",15,14,,,,,,1,,,,,,5,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",46,"cushion",8,6,,2,,,,1,,1,,,,4,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",46,"open",8,6,,,,,,1,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",47,"cushion",9,10,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",47,"open",9,10,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",48,"cushion",24,24,,1,,,,1,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",48,"open",24,24,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",49,"cushion",30,24,,2,,,,,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",49,"open",30,24,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",50,"cushion",27,16,,,,,,1,,1,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",50,"open",27,16,1,,,,,,,1,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",52,"open",21,16,,,,,2,,,3,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",53,"cushion",15,16,,,,,,,,,,,,,,2,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",53,"open",15,16,,,,,,,,,,,,1,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",54,"cushion",13,14,,,,,,,,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",54,"open",13,14,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",55,"cushion",11,12,,,,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",55,"open",11,12,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",56,"cushion",13,13,1,1,,,1,,,1,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",56,"open",13,13,,,,,,,,1,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",57,"cushion",8,10,,,,,2,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",57,"open",8,10,,,,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",58,"cushion",11,10,,,,,,1,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",58,"open",11,10,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",59,"cushion",23,19,,1,,,,,,,,,,1,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",59,"open",23,19,,,,,,,,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",60,"cushion",20,15,,,,,,,,,,,,1,3,2,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",60,"open",20,15,,,,,,,,,,,,1,3,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",62,"open",9,7,,,,,1,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",63,"cushion",23,13,1,,,,,,,,,,,1,1,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",63,"open",23,13,,,,,,,,,,,,,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",64,"cushion",13,8,,,,,,,,,,,,,1,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",64,"open",13,8,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",65,"cushion",26,19,,,,,,1,,,,,,1,,3,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",65,"open",26,19,1,1,,1,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",66,"cushion",25,24,,1,,,,,,,,,,,1,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",66,"open",25,24,,,,,,,,,,,,,,4,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",67,"cushion",14,8,,,,,1,,1,,,,,,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",67,"open",14,8,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",68,"cushion",10,16,,,,,,,,3,,,,1,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",68,"open",10,16,,,,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",69,"cushion",13,11,,1,,,3,1,3,,,,,2,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",69,"open",13,11,,,,,,1,,,,,,,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",70,"cushion",36,30,,,,,,2,,,,,,2,,2,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",70,"open",36,30,,,,,,,,,,1,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",72,"open",23,15,,,,,,1,,,,,,,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",73,"cushion",31,30,,2,,,1,,1,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",73,"open",31,30,1,,,,,,,,,,,3,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",74,"cushion",15,15,,,,,1,,1,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",74,"open",15,15,,1,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",75,"cushion",23,16,3,1,,,1,,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",75,"open",23,16,,2,,,,,,,,,,,,2,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",76,"cushion",7,6,,,,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",76,"open",7,6,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",77,"cushion",31,15,,2,,,,,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",77,"open",31,15,,,,,,,,,,,,2,1,3,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",78,"cushion",16,14,,,,,,,,,,,,1,1,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",78,"open",16,14,,1,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",79,"cushion",11,10,,,,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",79,"open",11,10,,,,,,,,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",80,"cushion",27,19,,,,,,4,1,,,,,3,,2,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",80,"open",27,19,1,,,,,,,,,,,,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",82,"open",17,13,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",83,"cushion",22,17,,,,,,1,,1,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",83,"open",22,17,,,,,2,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",84,"cushion",25,17,,1,,,,,,,,,,4,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",84,"open",25,17,,,,,1,,,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",85,"cushion",14,11,,2,,,,,,1,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",85,"open",14,11,,,,,,,,1,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",86,"cushion",10,10,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",86,"open",10,10,,,,,,,,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",87,"cushion",18,12,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",87,"open",18,12,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",88,"cushion",11,10,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",88,"open",11,10,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",89,"cushion",13,13,,1,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",89,"open",13,13,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",90,"cushion",14,11,,,,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",90,"open",14,11,,,,,,,,1,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",92,"open",25,14,,1,,,,,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",93,"cushion",14,11,,,,,,,,,,,,2,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",93,"open",14,11,,,,,,,,3,,,,,,2,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",94,"cushion",36,30,,,1,,,,,1,,,,9,1,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",94,"open",36,30,,,1,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",95,"cushion",7,6,,,,,,,,,,,,,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",95,"open",7,6,1,,,,,,,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",96,"cushion",25,17,,1,,,,,,,,,,4,1,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",96,"open",25,17,,,,,,,,,,,,,1,3,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",97,"cushion",9,7,,1,,,,,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",97,"open",9,7,,,,,,,,,,,,,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",98,"cushion",27,20,,1,,,,,,5,,,,3,2,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",98,"open",27,20,1,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",99,"cushion",35,27,,2,,,,,,2,,,,5,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",99,"open",35,27,,1,,,,,,1,,,,4,1,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",100,"cushion",40,27,,2,,2,2,1,2,2,,,,5,,2,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",4,"open",17,12,,,1,,,,,,1,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",14,"cushion",27,22,,,,,3,,1,,1,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",18,"open",24,21,,,,,,2,,,1,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",41,"cushion",24,20,,,,,,,,,1,,,4,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",100,"open",40,27,1,1,,,,,,1,1,,,4,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",6,"cushion",47,40,,,2,,6,2,1,,4,,,3,,,,63
