Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Biscutella glacialis,Chaenorhinum glareosum,Erigeron frigidus,Eryngium glaciale,Euphrasia willkommii,Festuca clementei,Galium pyrenaicum,Herniaria boissieri ssp boissieri,Hormathophylla spinosa,Jasione amethystina,Leontodon boryi,Nevadensia purpurea,Trisetum glaciale
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",24,"cushion",13,13,,,,,,,4,,,4,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",24,"open",13,13,,,,,,,,,,1,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",25,"cushion",14,14,,,,,,,5,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",25,"open",14,14,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",26,"cushion",13,11,,,,,,,2,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",26,"open",13,11,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",27,"cushion",15,19,,,,,,,10,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",27,"open",15,19,,,,,,,,,,,,1,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",28,"cushion",25,19,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",28,"open",25,19,,,,,,,3,,,,,1,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",29,"cushion",20,22,,3,,,,,,,,,10,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",29,"open",20,22,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",30,"cushion",15,16,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",30,"open",15,16,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",31,"cushion",21,16,,,,,,,15,,,5,,4,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",31,"open",21,16,,,,,,,,,,,1,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",32,"cushion",20,19,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",32,"open",20,19,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",33,"cushion",15,9,,,,,,,,,,4,,3,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",33,"open",15,9,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",34,"cushion",26,25,,,,,,,,,,1,,,8
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",34,"open",26,25,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",35,"cushion",25,15,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",35,"open",25,15,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",36,"cushion",21,21,,,,,,,,,,2,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",36,"open",21,21,,,,,,,,,,1,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",37,"cushion",22,13,,,,1,,,,,,4,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",37,"open",22,13,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",38,"cushion",25,11,,,,,,,,,,2,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",38,"open",25,11,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",39,"cushion",19,17,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",39,"open",19,17,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",40,"cushion",21,11,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",40,"open",21,11,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",41,"cushion",10,8,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",41,"open",10,8,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",42,"cushion",20,11,,,,,,,19,,,1,,,7
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",42,"open",20,11,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",43,"cushion",24,15,,,,,,,33,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",43,"open",24,15,,,,,,,1,,,1,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",44,"cushion",18,13,,,,,,,4,,,,,1,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",44,"open",18,13,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",45,"cushion",13,12,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",45,"open",13,12,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",46,"cushion",13,13,,,,,,,11,,,1,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",46,"open",13,13,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",47,"cushion",11,14,,,,,,,,,,,,,1
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",47,"open",11,14,,,,,,,,,,,,,1
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",48,"cushion",14,9,,,,,,,,,,2,,,8
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",48,"open",14,9,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",49,"cushion",20,20,,2,,,,,4,,,6,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",49,"open",20,20,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",50,"cushion",27,20,,,,,,,,,,1,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",50,"open",27,20,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",51,"cushion",21,16,,,,,,,,,,2,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",51,"open",21,16,,,,,,,4,,,3,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",52,"cushion",23,15,,,,,,,,,,5,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",52,"open",23,15,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",53,"cushion",17,10,,,,,,,5,,,4,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",53,"open",17,10,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",54,"cushion",26,20,,,,,,,,,,6,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",54,"open",26,20,,,,,,,8,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",55,"cushion",19,18,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",55,"open",19,18,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",56,"cushion",16,10,,,,,,,,,,,,3,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",56,"open",16,10,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",57,"cushion",19,18,,,,,,,,,,,,1,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",57,"open",19,18,,,,,,,,,1,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",58,"cushion",21,11,,,,,,,8,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",58,"open",21,11,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",59,"cushion",15,13,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",59,"open",15,13,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",60,"cushion",20,17,,,,,,,,,,2,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",60,"open",20,17,,,,,,,,,,1,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",61,"cushion",21,21,,,,,,,,,,1,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",61,"open",21,21,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",62,"cushion",25,19,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",62,"open",25,19,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",63,"cushion",13,14,,,,,,,3,,,1,,,
