"site","cushion","code","sample","cushion.open","diam1","diam2","area","Adesmia sp 1","Adesmia sp 2","Barneoudia major","Bromus setifoluis","Calandrinia affinis","Cerastium arvense","Chaetanthera euphrasioides","Chaetanthera lycopodioides","Erigeron andicola","Galium gilliesii","Hordeum comosum","Junellia uniflora","Montiopsis potentilloides","Nassauvia lagascae","Nassauvia pyramidalis","Nastanthus agglomeratus","Olsynium scirpoideum","Oxalis compacta","Perezia carthamoides","Phacelia secunda","Pozoa coriacea","Rytidosperma pictum","Senecio looseri","Taraxacum officinale","Thlaspi magellanicum","Trisetum preslei","Viola atropurpurea","Viola philippii"
"Franciscano","Azorella madreporica",11,78,"cushion",,,,,,,,,7,,,,,,,,,,,,,,,,,,1,3,,,
"Franciscano","Azorella madreporica",11,79,"cushion",,,,,,,,3,,,,2,,6,,,2,,11,,,,,,,,2,23,,,
"Franciscano","Azorella madreporica",11,80,"cushion",,,,,,,,,98,,,18,,7,,,,,11,,,,,,,,2,52,8,,
"Franciscano","Azorella madreporica",11,81,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Franciscano","Azorella madreporica",11,82,"cushion",,,,,,,,,1,,,,,1,,,,,1,,,,,,,,1,,,,
"Franciscano","Azorella madreporica",11,83,"cushion",,,,,,1,,,38,,,,,1,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,91,"cushion",,,,,,1,,,94,,,1,,6,,,,,,,,,,,,,,1,1,,
"Franciscano","Azorella madreporica",11,92,"cushion",,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
"Franciscano","Azorella madreporica",11,10,"open",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,11,"open",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,12,"open",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
"Franciscano","Azorella madreporica",11,13,"open",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,14,"open",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,29,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Franciscano","Azorella madreporica",11,30,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,31,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,32,"open",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Franciscano","Azorella madreporica",11,33,"open",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,48,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,49,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"Franciscano","Azorella madreporica",11,50,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,51,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,52,"open",,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,2,,
"Franciscano","Azorella madreporica",11,67,"open",,,,,2,,,,,,,,,2,,,,,,,2,,,,,,,,,5,
"Franciscano","Azorella madreporica",11,68,"open",,,,1,,2,,,,,,,,,,,,,,,2,,,,,,,,,,
"Franciscano","Azorella madreporica",11,69,"open",,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,
"Franciscano","Azorella madreporica",11,70,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,71,"open",,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,2,
"Franciscano","Azorella madreporica",11,86,"open",,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,87,"open",,,,1,,,,,,,,,,2,,,,,,,,,1,,,,,,,,
"Franciscano","Azorella madreporica",11,88,"open",,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,
"Franciscano","Azorella madreporica",11,89,"open",,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,90,"open",,,,,,,,,,,2,,,,,,2,,1,,,,,,,,,,,,2
"Franciscano","Azorella madreporica",11,91,"open",,,,2,,,,,,,,,,3,,,1,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,92,"open",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Franciscano","Azorella madreporica",11,93,"open",,,,,4,11,,,,,2,,,,,,1,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,94,"open",,,,,,,,,,,4,,,,,,2,,,,3,,,2,,,,,,6,
"Franciscano","Azorella madreporica",11,95,"open",,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,96,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,97,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Franciscano","Azorella madreporica",11,98,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"Franciscano","Azorella madreporica",11,99,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,100,"open",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,12,"cushion",,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,
"Franciscano","Azorella madreporica",11,13,"cushion",,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,
"Franciscano","Azorella madreporica",11,14,"cushion",,,,1,,,,,,12,,,1,,,,,,,,,,,,,,,3,,,
"Franciscano","Azorella madreporica",11,15,"cushion",,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,9,,,
"Franciscano","Azorella madreporica",11,16,"cushion",,,,,,,,,,5,,,,1,,,,,1,,,,,,,,,6,7,,
"Franciscano","Azorella madreporica",11,17,"cushion",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,18,"cushion",,,,1,,,1,,9,1,,,,,,,,,,,,,,,,,1,4,1,,
"Franciscano","Azorella madreporica",11,30,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,31,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,32,"cushion",,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,
"Franciscano","Azorella madreporica",11,33,"cushion",,,,,,,1,,22,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,34,"cushion",,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,35,"cushion",,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,36,"cushion",,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,48,"cushion",,,,,,,,,7,,,,,,,,,,1,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,49,"cushion",,,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,50,"cushion",,,,,,,,,,,,,,1,,,,,1,,,,,,,,2,,,,
"Franciscano","Azorella madreporica",11,51,"cushion",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,52,"cushion",,,,,,,,,2,,,,,,,,,,1,,,,,,,,1,,,,
"Franciscano","Azorella madreporica",11,53,"cushion",,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,
"Franciscano","Azorella madreporica",11,54,"cushion",,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,,,
"Franciscano","Azorella madreporica",11,66,"cushion",,,,,,,,,6,,,,,1,,,,,,,,,,,,,1,,,,
"Franciscano","Azorella madreporica",11,67,"cushion",,,,,,,,1,,,,,,,,,,,6,,,,,,,,,2,1,,
"Franciscano","Azorella madreporica",11,68,"cushion",,,,2,,,,,6,,,,,1,,,,,2,,,,,,,,,12,,,
"Franciscano","Azorella madreporica",11,69,"cushion",,,,,,,,,5,,,1,,3,,,,,1,,,,,,,,,13,,,
"Franciscano","Azorella madreporica",11,70,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,1,5,,,
"Franciscano","Azorella madreporica",11,71,"cushion",,,,,,,,,49,,,,,3,,,,,1,,,,,,,,,,2,,
"Franciscano","Azorella madreporica",11,72,"cushion",,,,,,,,1,39,,,,,,,,,,,,,,,,,,,,5,,
"Franciscano","Azorella madreporica",11,84,"cushion",,,,,,2,,,81,,,1,,3,,,,,1,,,,,,,,,2,,,
"Franciscano","Azorella madreporica",11,85,"cushion",,,,,,,,,363,,,,,11,,,2,,31,,,,,,,,1,44,17,,
