Site,Cushion species,sample,cushion/open,Flower #,Flower gender,x-axis (cm),y-axis (cm),Antennaria alpina,Bistorta vivipara,Buttercup,Carex spp,Cetraria cuculata,Draba oligosperma (ylw flower cushion),Dryas octopetala,Grass spp,Lichen,Moss,Peltigera spp,Phyllodoce spp (Heather),Polemonium spp,Potentilla spp (Cinquefoil),Red gentian?,Rock lichen,Salix cascadensis (Salix 2),Salix spp,Saxifraga nelsoniana (Lobe leaf),Saxifraga nivalis (Dandel),Saxifraga oppositifolia,Silene acaulis,Small gen,Notes,dataset code
"Cathedral Lake 2","Saxifraga oppositifolia",21,"cushion",35,"un",36.2,27.2,10,,,,,,,10,,,,,,,,,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",21,"open",,"",,,,,,,,,,10,,,,,,,,3,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",22,"cushion",50,"un",55.5,28,1,,,7,,,,8,,,,,,,10,,,,,,,1,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",22,"open",,"",,,,,,4,,,,2,,,,,,,,,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",23,"cushion",70,"un",42,38.2,1,,,5,2,,,20,,,,,,,,,,,,,,1,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",23,"open",,"",,,,,,,,,,2,,,,,,,,,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",24,"cushion",15,"un",27.3,17.5,,,,,,,,5,,,,,,,,,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",24,"open",,"",,,,,,,,,,,,,,,,,,2,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",25,"cushion",32,"",21,13,,,,3,,,,4,,,,,,,,,,9,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",25,"open",,"",,,,,,,,,,,,,,,,,,1,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",26,"cushion",18,"",24,8,,,,7,,,,,,,,,,,,,,6,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",26,"open",,"",,,,,,,,,,,,,,,,,,1,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",27,"cushion",45,"",29,11,,2,4,3,,,,13,,,,,,,,,,14,,,,,2,"wrapped around rock",99
"Cathedral Lake 2","Saxifraga oppositifolia",27,"open",,"",,,,,,,,,,3,,,,1,,,,1,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",28,"cushion",26,"",24,14,,,,11,,,,13,,,,,,,,,3,26,,,,,8,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",28,"open",,"",,,,,,,,,,,,,,,,,,2,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",29,"cushion",70,"",31,36,,,,6,,,,8,,1,,,,1,,,,80,,,,,3,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",29,"open",,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",99
