Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Agrostis borealis,Agrostis scabra,Androsace chamaejasme,Antenaria alpina,Astragalus kentrophyta implexus,Carex podocarpa,Cerastrium nutans,Chrysosplenium tetrandum,Cirsium tweedyi,Claytonia megarhiza,Deschampsia caespitosa,Draba longipes,Erigeron aureus,Festuca brachyphylla,Hedysarum alpinum,Oxyria dignya,Phleum commutatum,Poa alpina,Polemonium viscosum,Polygonum viviparum,Salix arctica,Salix reticulata,Saussarea weberi,Saxifraga lyallii,Saxifraga oppositifolia,Sedum roseum,Senecio canus,Senecio fremontii,Smelowskia calycia,Stellaria borealis,Taraxacum officinale,UKN fuzzy  purple
97,"Ptarmigan Cirque","Silene acaulis",21,"open",49,42,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6,,,
97,"Ptarmigan Cirque","Silene acaulis",22,"cushion",45,24,,,,,9,,,,,,,,,,,,,,,,,,1,,,,2,,,,,
97,"Ptarmigan Cirque","Silene acaulis",22,"open",45,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",23,"cushion",26,23,,,,,4,,,,,,2,,,1,,,,1,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",23,"open",26,23,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",24,"cushion",24,37,,,,,,,,,,,4,,,9,,,,1,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",24,"open",24,37,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",25,"cushion",21,20,1,3,3,,4,,,,,,12,1,2,,,,,18,,,,,,,,,2,,9,1,2,
97,"Ptarmigan Cirque","Silene acaulis",25,"open",21,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",26,"cushion",31,31,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,5,,,
97,"Ptarmigan Cirque","Silene acaulis",26,"open",31,31,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",27,"cushion",47,52,,,,,,3,,,,,,1,,5,,,,19,,1,,,,,,,,,20,,,
97,"Ptarmigan Cirque","Silene acaulis",27,"open",47,52,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,14,,,
97,"Ptarmigan Cirque","Silene acaulis",28,"cushion",32,25,4,,,,,,,,,,,,,3,,,,,,,4,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",28,"open",32,25,7,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,
97,"Ptarmigan Cirque","Silene acaulis",29,"cushion",22,22,,,,,,,,,,,,,,4,2,,,7,,2,,,,3,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",29,"open",22,22,,,,,,,,,,,,,,,7,,,,,,35,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",30,"cushion",38,24,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,6,,,
97,"Ptarmigan Cirque","Silene acaulis",30,"open",38,24,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,4,,,
97,"Ptarmigan Cirque","Silene acaulis",31,"cushion",27,22,,,3,,,3,,,,,,,,3,,3,,2,,,,,4,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",31,"open",27,22,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",32,"cushion",20,11,,,,,,10,,,,,,,,,,,,,,3,,,,,1,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",32,"open",20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",33,"cushion",32,24,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
97,"Ptarmigan Cirque","Silene acaulis",33,"open",32,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",34,"cushion",47,31,,21,,,,12,,,,,3,,,40,,,,,,3,,,,,,,,,8,,,
97,"Ptarmigan Cirque","Silene acaulis",34,"open",47,31,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,2,,2,
97,"Ptarmigan Cirque","Silene acaulis",35,"cushion",32,19,,,,,,5,,,,,,,4,6,,,,,,,,,,,,,,,3,,,
97,"Ptarmigan Cirque","Silene acaulis",35,"open",32,19,,,,,,2,,,,,,,,7,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",36,"cushion",26,26,,,,,,4,,,,,,,,4,,,,,,,,,3,,,,,,1,,3,
97,"Ptarmigan Cirque","Silene acaulis",36,"open",26,26,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,1,
97,"Ptarmigan Cirque","Silene acaulis",37,"cushion",33,30,,,3,,,1,,,,,,,,7,,,,,,,,,4,,,,1,,3,,,
97,"Ptarmigan Cirque","Silene acaulis",37,"open",33,30,,,,,,3,,,,,,,,,,,,,,,,1,2,,,,,,9,,1,
97,"Ptarmigan Cirque","Silene acaulis",38,"cushion",26,23,,,,,,2,,,,,,,,1,,,,,,11,1,,3,,,,,,1,,3,
97,"Ptarmigan Cirque","Silene acaulis",38,"open",26,23,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,1,
97,"Ptarmigan Cirque","Silene acaulis",39,"cushion",17,15,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,4,,,
97,"Ptarmigan Cirque","Silene acaulis",39,"open",17,15,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,6,,,
97,"Ptarmigan Cirque","Silene acaulis",40,"cushion",45,36,,,,,,15,,,,,,,,4,,,,,,,,,,,,,2,,5,,1,
97,"Ptarmigan Cirque","Silene acaulis",40,"open",45,36,,,,,,7,,,,,,,,,,,,,,,,,2,,,,,,7,,,
97,"Ptarmigan Cirque","Silene acaulis",41,"cushion",31,16,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,,,,,
97,"Ptarmigan Cirque","Silene acaulis",41,"open",31,16,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",42,"cushion",11,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",42,"open",11,8,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",43,"cushion",13,12,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",43,"open",13,12,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
97,"Ptarmigan Cirque","Silene acaulis",44,"cushion",21,18,,,12,,,5,,,,,,2,,,,,,1,,1,,,,,,,,,3,,,
97,"Ptarmigan Cirque","Silene acaulis",44,"open",21,18,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",45,"cushion",44,31,,14,,,,1,,,,,,,,,,,,,,,,,2,,,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",45,"open",44,31,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",46,"cushion",23,27,,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
97,"Ptarmigan Cirque","Silene acaulis",46,"open",23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",47,"cushion",46,22,,14,,,1,5,,,,,,,,,,,,1,,4,,,,,,3,1,,,,,
97,"Ptarmigan Cirque","Silene acaulis",47,"open",46,22,,,,,,10,,,,,,,,,,,,1,,,,,,,,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",48,"cushion",33,32,,8,,,,10,,,,,,,,11,,,,,,,,,,,,,,,16,,,
97,"Ptarmigan Cirque","Silene acaulis",48,"open",33,32,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,
97,"Ptarmigan Cirque","Silene acaulis",49,"cushion",40,32,,6,,,,,1,,,,,,,,,,,6,,,,1,,,,,5,,5,,,
97,"Ptarmigan Cirque","Silene acaulis",49,"open",40,32,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2,
97,"Ptarmigan Cirque","Silene acaulis",50,"cushion",56,45,,1,,,,,1,,,,,,,,,,3,,,,,,,,,,5,,,1,,
97,"Ptarmigan Cirque","Silene acaulis",50,"open",56,45,,,1,,,9,,,,,,,,,,,,,,,,,,,,,2,,5,,,
97,"Ptarmigan Cirque","Silene acaulis",51,"cushion",17,18,,5,2,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",51,"open",17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
97,"Ptarmigan Cirque","Silene acaulis",52,"cushion",12,11,,2,,,,,,,,,,,,3,6,,,,,,,,,,,,1,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",52,"open",12,11,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2,
97,"Ptarmigan Cirque","Silene acaulis",53,"cushion",33,28,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,
97,"Ptarmigan Cirque","Silene acaulis",53,"open",33,28,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,
97,"Ptarmigan Cirque","Silene acaulis",54,"cushion",34,32,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,
97,"Ptarmigan Cirque","Silene acaulis",54,"open",34,32,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,3,
97,"Ptarmigan Cirque","Silene acaulis",55,"cushion",32,47,,2,,,,6,,,,,,,,,,,,3,,,,,,,,,7,,7,,,
97,"Ptarmigan Cirque","Silene acaulis",55,"open",32,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
97,"Ptarmigan Cirque","Silene acaulis",56,"cushion",13,19,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",56,"open",13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",57,"cushion",30,19,,1,,,,,,,,,,,,7,,,,,,,,,,,,,,,2,,,
97,"Ptarmigan Cirque","Silene acaulis",57,"open",30,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",58,"cushion",19,18,,3,,,,4,,,,,,1,,5,,,,3,,,,,,,,,1,,3,,,
97,"Ptarmigan Cirque","Silene acaulis",58,"open",19,18,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,
97,"Ptarmigan Cirque","Silene acaulis",59,"cushion",27,25,,2,2,,,4,,,,,,,,2,,,,3,,,,,,,,,,,3,,,
97,"Ptarmigan Cirque","Silene acaulis",59,"open",27,25,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
97,"Ptarmigan Cirque","Silene acaulis",60,"cushion",25,25,,3,,1,,,,,,,,,,6,,,,5,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",60,"open",25,25,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",61,"cushion",15,24,,2,,,,6,,,,,1,,,,,,,5,,,,,,,1,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",61,"open",15,24,,3,1,,,5,,,,,,,,,,,,1,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",62,"cushion",32,20,,6,2,,,6,,,,,,,,7,,,,2,,,,,,,,,,,10,,,
97,"Ptarmigan Cirque","Silene acaulis",62,"open",32,20,,,1,,,2,,,,,,,,,,,,3,,,,,,,,,,,2,,,
97,"Ptarmigan Cirque","Silene acaulis",63,"cushion",36,29,,10,,,,,,,,,,,,5,,,,13,,,,,,,,,,,4,,,
97,"Ptarmigan Cirque","Silene acaulis",63,"open",36,29,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",64,"cushion",40,25,,5,,,3,4,,,,,1,,,8,,,,9,,,,,1,,,,12,,14,,,
97,"Ptarmigan Cirque","Silene acaulis",64,"open",40,25,,,,2,,5,,,,,,,,,,,,,,,,,,,,,,,11,,,
97,"Ptarmigan Cirque","Silene acaulis",65,"cushion",32,19,,3,6,,5,3,,,,,,,14,,,,,5,1,,,,,,,,3,,9,,,
97,"Ptarmigan Cirque","Silene acaulis",65,"open",32,19,,,1,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",66,"cushion",29,27,,,,,,,,,,,,,,3,,,,4,,,,,,,,,,,7,,,
97,"Ptarmigan Cirque","Silene acaulis",66,"open",29,27,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,
97,"Ptarmigan Cirque","Silene acaulis",67,"cushion",21,12,,12,,1,,,,,,,,,,,,,,1,,4,,,,,,,,,7,,,
97,"Ptarmigan Cirque","Silene acaulis",67,"open",21,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
97,"Ptarmigan Cirque","Silene acaulis",68,"cushion",37,34,,,,,,1,,,,,2,,,6,,,,4,,,,,,,,,,,18,,,
97,"Ptarmigan Cirque","Silene acaulis",68,"open",37,34,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",69,"cushion",41,25,,,,,,,,,,,,,,15,,,,5,,,,,,,,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",69,"open",41,25,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",70,"cushion",34,22,1,13,1,,2,,,,,,,,2,12,,,,11,,,,,1,,,,6,,5,1,,
97,"Ptarmigan Cirque","Silene acaulis",70,"open",34,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",71,"cushion",23,21,,2,,,,,,,,,,,4,4,,,3,11,,,,,,,4,,,,3,,,
97,"Ptarmigan Cirque","Silene acaulis",71,"open",23,21,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",72,"cushion",22,27,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,
97,"Ptarmigan Cirque","Silene acaulis",72,"open",22,27,,,,,,5,1,,,,,,,,,,,,,,,,,,,,1,,4,,,
97,"Ptarmigan Cirque","Silene acaulis",73,"cushion",47,23,,21,,,4,,,,,,2,3,,4,,,,4,,,,,,2,7,,,,16,,,
97,"Ptarmigan Cirque","Silene acaulis",73,"open",47,23,,6,,,,2,,,,,,,,,,,,,,,,,1,,4,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",74,"cushion",28,26,,7,2,,,7,1,,,,,,2,11,,,,13,,1,,,,,,2,,,20,1,,
97,"Ptarmigan Cirque","Silene acaulis",74,"open",28,26,,2,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",75,"cushion",29,26,,,,,,3,,,,,,,,,,,,1,,,,,,,,,1,,2,,,
97,"Ptarmigan Cirque","Silene acaulis",75,"open",29,26,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,
97,"Ptarmigan Cirque","Silene acaulis",76,"cushion",33,28,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,1,
97,"Ptarmigan Cirque","Silene acaulis",76,"open",33,28,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",77,"cushion",27,21,13,,3,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,3,
97,"Ptarmigan Cirque","Silene acaulis",77,"open",27,21,7,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",78,"cushion",54,42,12,11,,,,,,,,,,,,,,,,1,,1,,,,1,,,,1,12,,,
97,"Ptarmigan Cirque","Silene acaulis",78,"open",54,42,8,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",79,"cushion",32,25,5,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,4,,,
97,"Ptarmigan Cirque","Silene acaulis",79,"open",32,25,8,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,1,,1,
97,"Ptarmigan Cirque","Silene acaulis",80,"cushion",17,17,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",80,"open",17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",81,"cushion",19,15,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,2,,1,
97,"Ptarmigan Cirque","Silene acaulis",81,"open",19,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",82,"cushion",29,23,15,,,,,,,,,,,,,,,,,,,,9,,,,,,,,5,,,
97,"Ptarmigan Cirque","Silene acaulis",82,"open",29,23,6,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",83,"cushion",41,29,9,,,,,,,,,,,,,,,,,,,,33,,,,,,,,3,,,
97,"Ptarmigan Cirque","Silene acaulis",83,"open",41,29,3,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",84,"cushion",29,27,4,,,,,2,,,,,,,,,,,,1,,,38,,,,,,3,,9,,,
97,"Ptarmigan Cirque","Silene acaulis",84,"open",29,27,5,,,,,,,,,,,,,,,,,2,,,50,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",85,"cushion",30,25,5,,3,,4,,,,,,,,,,,,,,,,,,,,3,,,,3,,,
97,"Ptarmigan Cirque","Silene acaulis",85,"open",30,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",86,"cushion",28,28,1,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,2,2,
97,"Ptarmigan Cirque","Silene acaulis",86,"open",28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",87,"cushion",16,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",87,"open",16,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",88,"cushion",39,26,15,4,,,2,,,,,,,,,,,,,5,,,,,1,,,,1,,3,,,
97,"Ptarmigan Cirque","Silene acaulis",88,"open",39,26,6,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,3
97,"Ptarmigan Cirque","Silene acaulis",89,"cushion",13,19,4,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,8,,,
97,"Ptarmigan Cirque","Silene acaulis",89,"open",13,19,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",90,"cushion",37,34,19,2,,,,1,,,,,,,1,,,,,6,,3,,,,,,1,1,,3,,,
97,"Ptarmigan Cirque","Silene acaulis",90,"open",37,34,7,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,1,
97,"Ptarmigan Cirque","Silene acaulis",91,"cushion",36,24,3,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,11,,,
97,"Ptarmigan Cirque","Silene acaulis",91,"open",36,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
97,"Ptarmigan Cirque","Silene acaulis",92,"cushion",14,18,7,,,,,1,,,,,,,,,,1,,2,,,,,2,,1,,1,,11,,,
97,"Ptarmigan Cirque","Silene acaulis",92,"open",14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",93,"cushion",29,30,10,,,,1,,,3,,,,3,,,,,,6,,,,,,,,,,,8,1,,
97,"Ptarmigan Cirque","Silene acaulis",93,"open",29,30,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,1,
97,"Ptarmigan Cirque","Silene acaulis",94,"cushion",17,19,16,,,,,1,,,,,,,,,,,,6,,,,,,,,1,1,,3,,,
97,"Ptarmigan Cirque","Silene acaulis",94,"open",17,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
